"COU","Pays","VAR","Variable","RISK","Risque","SEX","Sexe","AGE","Âge","YEA","Année","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australie","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,70.732,,
"AUT","Autriche","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,267.22,,
"BEL","Belgique","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,302.814,,
"AFG","Afghanistan","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,228.234,,
"ALB","Albanie","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,532.035,,
"DZA","Algérie","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,502.327,,
"ASM","Samoa américaines","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,140.15,,
"AND","Andorre","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,136.917,,
"AGO","Angola","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,174.547,,
"ATG","Antigua-et-Barbuda","MOR_CAP","Décès prématurés, par million d'habitants","PM_2_5_OUT","Particules dans l'air ambiant","BOTH","Deux sexes","ALL","Toutes","2019","2019","1000000HAB","Pour 1 000 000 habitants","0","Unités",,,309.069,,
