Code Domaine,Domaine,Code zone (ISO3),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"MK","Indicateurs macro","AFG","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","469.91909"
"MK","Indicateurs macro","ZAF","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","6001.389576"
"MK","Indicateurs macro","ALB","Albanie","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","5303.197823"
"MK","Indicateurs macro","DZA","Alg?rie","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","3975.510381"
"MK","Indicateurs macro","DEU","Allemagne","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","46231.563366"
"MK","Indicateurs macro","AND","Andorre","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","40887.421647"
"MK","Indicateurs macro","AGO","Angola","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","2670.850732"
"MK","Indicateurs macro","AIA","Anguilla","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","25528.573567"
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","17112.821135"
"MK","Indicateurs macro","SAU","Arabie saoudite","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","23139.802114"
"MK","Indicateurs macro","ARG","Argentine","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","10041.463303"
"MK","Indicateurs macro","ARM","Arm?nie","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","4622.733216"
"MK","Indicateurs macro","ABW","Aruba","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","30974.714619"
"MK","Indicateurs macro","AUS","Australie","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","54763.202388"
"MK","Indicateurs macro","AUT","Autriche","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","49700.761833"
"MK","Indicateurs macro","AZE","Azerba?djan","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","4781.946215"
"MK","Indicateurs macro","BHS","Bahamas","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","34863.742098"
"MK","Indicateurs macro","BHR","Bahre?n","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","23503.977127"
"MK","Indicateurs macro","BGD","Bangladesh","6119","Valeur US $ par habitant","22008","Produit Int?rieur Brut","2019","2019","US$","1846.416377"
