Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,38041757
"Population, total",SP.POP.TOTL,Albanie,ALB,2854191
"Population, total",SP.POP.TOTL,Algérie,DZA,43053054
"Population, total",SP.POP.TOTL,Samoa américaines,ASM,55312
"Population, total",SP.POP.TOTL,Andorre,AND,77146
"Population, total",SP.POP.TOTL,Angola,AGO,31825299
"Population, total",SP.POP.TOTL,Antigua-et-Barbuda,ATG,97115
"Population, total",SP.POP.TOTL,Argentine,ARG,44938712
"Population, total",SP.POP.TOTL,Arménie,ARM,2957728
"Population, total",SP.POP.TOTL,Aruba,ABW,106310
"Population, total",SP.POP.TOTL,Australie,AUS,25365745
"Population, total",SP.POP.TOTL,Autriche,AUT,8879920
"Population, total",SP.POP.TOTL,Azerbaïdjan,AZE,10024283
"Population, total",SP.POP.TOTL,Bahamas,BHS,389486
"Population, total",SP.POP.TOTL,Bahreïn,BHR,1641164
"Population, total",SP.POP.TOTL,Bangladesh,BGD,163046173
"Population, total",SP.POP.TOTL,Barbade,BRB,287021
"Population, total",SP.POP.TOTL,Bélarus,BLR,9419758
"Population, total",SP.POP.TOTL,Belgique,BEL,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,390351
"Population, total",SP.POP.TOTL,Bénin,BEN,11801151
"Population, total",SP.POP.TOTL,Bermudes,BMU,63913
"Population, total",SP.POP.TOTL,Bhoutan,BTN,763094
"Population, total",SP.POP.TOTL,Bolivie,BOL,11513102
"Population, total",SP.POP.TOTL,Bosnie-Herzégovine,BIH,3300998
"Population, total",SP.POP.TOTL,Botswana,BWA,2303703
"Population, total",SP.POP.TOTL,Brésil,BRA,211049519
"Population, total",SP.POP.TOTL,Îles Vierges britanniques,VGB,30033
"Population, total",SP.POP.TOTL,Brunéi Darussalam,BRN,433296
"Population, total",SP.POP.TOTL,Bulgarie,BGR,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20321383
"Population, total",SP.POP.TOTL,Burundi,BDI,11530577
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,549936
"Population, total",SP.POP.TOTL,Cambodge,KHM,16486542
"Population, total",SP.POP.TOTL,Cameroun,CMR,25876387
"Population, total",SP.POP.TOTL,Canada,CAN,37601230
"Population, total",SP.POP.TOTL,Îles Caïmans,CYM,64948
"Population, total",SP.POP.TOTL,République centrafricaine,CAF,4745179
"Population, total",SP.POP.TOTL,Tchad,TCD,15946882
"Population, total",SP.POP.TOTL,Îles Anglo-Normandes,CHI,172264
"Population, total",SP.POP.TOTL,Chili,CHL,18952035
"Population, total",SP.POP.TOTL,Chine,CHN,1407745000
"Population, total",SP.POP.TOTL,Colombie,COL,50339443
"Population, total",SP.POP.TOTL,Comores,COM,850891
"Population, total",SP.POP.TOTL,"Congo, République démocratique du",COD,86790568
"Population, total",SP.POP.TOTL,"Congo, République du",COG,5380504
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5047561
"Population, total",SP.POP.TOTL,Côte d'Ivoire,CIV,25716554
"Population, total",SP.POP.TOTL,Croatie,HRV,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11333484
"Population, total",SP.POP.TOTL,Curacao,CUW,157441
"Population, total",SP.POP.TOTL,Chypre,CYP,1198574
"Population, total",SP.POP.TOTL,République tchèque,CZE,10671870
"Population, total",SP.POP.TOTL,Danemark,DNK,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,973557
"Population, total",SP.POP.TOTL,Dominique,DMA,71808
"Population, total",SP.POP.TOTL,République dominicaine,DOM,10738957
"Population, total",SP.POP.TOTL,Équateur,ECU,17373657
"Population, total",SP.POP.TOTL,"Égypte, République arabe d’",EGY,100388076
"Population, total",SP.POP.TOTL,El Salvador,SLV,6453550
"Population, total",SP.POP.TOTL,Guinée équatoriale,GNQ,1355982
"Population, total",SP.POP.TOTL,Érythrée,ERI,..
"Population, total",SP.POP.TOTL,Estonie,EST,1326855
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1148133
"Population, total",SP.POP.TOTL,Éthiopie,ETH,112078727
"Population, total",SP.POP.TOTL,Îles Féroé,FRO,48677
"Population, total",SP.POP.TOTL,Fidji,FJI,889955
"Population, total",SP.POP.TOTL,Finlande,FIN,5521606
"Population, total",SP.POP.TOTL,France,FRA,67248926
"Population, total",SP.POP.TOTL,Polynésie française,PYF,279285
"Population, total",SP.POP.TOTL,Gabon,GAB,2172578
"Population, total",SP.POP.TOTL,Gambie,GMB,2347696
"Population, total",SP.POP.TOTL,Géorgie,GEO,3720161
"Population, total",SP.POP.TOTL,Allemagne,DEU,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,30417858
